generation,Npop,diversity,encountered,core_pop,core_size,E,F,mu
1,14,6,8,14,6,0,0,0.1
2,11,5,10,11,5,0,0,0.1
3,15,4,10,15,4,0,0,0.1
4,13,4,12,13,4,0,-30.7789,0.1
5,10,2,12,10,2,0,0,0.1
6,13,1,13,13,1,0,0,0.1
7,23,5,18,23,5,0,-170.867,0.1
8,30,5,21,28,3,0,-69.6694,0.1
9,25,6,25,25,6,0,-29.016,0.1
10,30,5,25,27,2,0,-36.2861,0.1
11,14,3,26,14,3,0,0,0.1
12,34,5,28,32,3,0,-13.5932,0.1
13,52,11,35,45,4,0,50.2753,0.1
14,52,9,39,47,4,0,94.0538,0.1
15,42,5,43,39,2,0,-11.3693,0.1
16,21,3,43,21,3,0,1.09225,0.1
17,30,6,47,26,2,0,30.3084,0.1
18,27,4,49,25,2,0,-0.0614221,0.1
19,10,2,49,10,2,0,0,0.1
20,11,4,49,11,4,0,-11.3105,0.1
21,20,8,50,20,8,0,-26.5189,0.1
22,11,3,51,11,3,0,-16.0482,0.1
23,15,4,53,15,4,0,-24.4121,0.1
24,27,8,59,27,8,0,172.481,0.1
25,70,16,70,59,5,0,615.688,0.1
26,118,23,83,89,3,0,973.651,0.1
27,107,22,96,92,7,0,546.786,0.1
28,139,21,108,120,6,0,1793.61,0.1
29,112,21,115,95,6,0,430.396,0.1
30,111,17,124,97,6,0,-243.687,0.1
31,211,34,142,162,4,0,1908.91,0.1
32,223,31,146,177,4,0,3215.15,0.1
33,311,36,159,240,3,0,6618.42,0.1
34,330,41,169,254,2,0,8448.65,0.1
35,234,41,181,181,3,0,-2787.45,0.1
36,294,51,214,240,7,0,2506.37,0.1
37,356,44,232,282,5,0,7172.61,0.1
38,405,46,243,310,2,0,11541.4,0.1
39,392,44,254,307,2,0,11856.3,0.1
40,424,40,265,344,2,0,13974.9,0.1
41,430,42,273,353,2,0,14503.4,0.1
42,431,39,281,360,2,0,14916,0.1
43,455,33,285,392,2,0,17335.2,0.1
44,436,38,286,365,2,0,15588.7,0.1
45,405,45,296,325,2,0,12983.8,0.1
46,404,43,311,330,3,0,12624.8,0.1
47,408,48,318,326,3,0,12759.3,0.1
48,401,47,325,318,3,0,11849.1,0.1
49,406,47,331,331,3,0,12888.1,0.1
50,403,53,339,326,3,0,12585.8,0.1
51,406,49,346,340,3,0,13114.8,0.1
52,419,53,351,342,3,0,13690.5,0.1
53,408,47,359,338,3,0,13266.2,0.1
54,396,41,362,318,3,0,12051.4,0.1
55,403,39,365,332,3,0,12885.6,0.1
56,388,44,371,319,3,0,12057.7,0.1
57,407,53,378,334,3,0,13217.9,0.1
58,380,43,382,315,3,0,11705.3,0.1
59,385,42,388,323,3,0,12289.7,0.1
60,397,46,392,327,3,0,12659.4,0.1
61,395,44,398,326,3,0,12269.7,0.1
62,379,44,401,307,3,0,11255.4,0.1
63,396,43,405,323,3,0,12481.9,0.1
64,410,48,412,340,3,0,13664.1,0.1
65,401,50,416,323,3,0,12258.9,0.1
66,370,50,418,288,3,0,10398.1,0.1
67,380,53,422,302,3,0,11158.3,0.1
68,394,47,428,325,3,0,12123,0.1
69,376,48,431,309,3,0,11481.1,0.1
70,413,48,436,346,3,0,13778.7,0.1
71,391,49,441,326,3,0,12257.7,0.1
72,392,45,447,317,3,0,12430,0.1
73,408,40,448,345,3,0,13723.9,0.1
74,404,44,449,337,3,0,13061.6,0.1
75,396,43,451,312,3,0,11674.3,0.1
76,368,45,455,294,3,0,10515.1,0.1
77,382,42,457,306,3,0,11169.3,0.1
78,415,41,462,353,3,0,14168.4,0.1
79,415,43,464,350,3,0,13983.4,0.1
80,418,58,470,343,3,0,13867,0.1
81,418,43,473,347,3,0,13903.1,0.1
82,394,47,474,318,3,0,12041.1,0.1
83,383,51,475,306,3,0,11165.3,0.1
84,396,50,479,322,3,0,12574.7,0.1
85,392,48,484,312,3,0,11905.6,0.1
86,413,54,489,342,3,0,13568.8,0.1
87,401,40,491,338,3,0,13128.1,0.1
88,391,48,495,321,3,0,11896.2,0.1
89,380,45,498,308,3,0,11014.6,0.1
90,400,45,500,333,3,0,13004.7,0.1
91,410,48,503,342,3,0,13521.8,0.1
92,409,44,507,346,3,0,13654.1,0.1
93,395,44,513,330,3,0,12615,0.1
94,404,50,517,332,3,0,13288.6,0.1
95,401,51,520,333,3,0,12867.8,0.1
96,400,50,523,338,3,0,13159.3,0.1
97,415,45,528,354,3,0,14187.4,0.1
98,426,45,531,358,3,0,14640.1,0.1
99,411,43,536,343,3,0,13795.5,0.1
100,405,46,542,335,3,0,13119.9,0.1
101,394,42,544,329,3,0,12308.2,0.1
102,405,48,548,341,3,0,13529.5,0.1
103,413,47,552,343,3,0,13734,0.1
104,392,47,553,316,3,0,12261.8,0.1
105,378,38,555,318,3,0,11697.7,0.1
106,401,41,559,343,3,0,13282.8,0.1
107,425,43,564,362,3,0,14798,0.1
108,404,42,566,332,3,0,12992.9,0.1
109,411,51,569,337,3,0,13161,0.1
110,397,48,569,327,3,0,12644.3,0.1
111,396,46,573,323,3,0,12154.9,0.1
112,368,46,576,299,4,0,10554.9,0.1
113,380,48,577,313,3,0,11868.1,0.1
114,422,49,580,348,3,0,13862.2,0.1
115,426,45,580,367,3,0,15156.8,0.1
116,410,44,581,342,3,0,13530.8,0.1
117,432,40,582,375,3,0,15678.1,0.1
118,412,46,584,338,3,0,13205.6,0.1
119,387,43,588,321,3,0,12009,0.1
120,390,52,590,314,3,0,11751.9,0.1
121,368,48,591,290,3,0,10322.8,0.1
122,372,47,593,303,3,0,11310.9,0.1
123,399,48,595,325,3,0,12222.6,0.1
124,407,43,596,336,3,0,13094.3,0.1
125,414,46,598,347,3,0,13874.9,0.1
126,418,45,601,352,3,0,14287.5,0.1
127,420,52,602,348,3,0,13989.8,0.1
128,423,42,604,357,3,0,14459.6,0.1
129,422,46,606,351,3,0,14396.5,0.1
130,407,48,609,338,3,0,13567,0.1
131,416,49,609,342,3,0,13521.6,0.1
132,441,42,610,377,3,0,15874.2,0.1
133,417,42,611,350,3,0,14211.4,0.1
134,398,53,614,323,3,0,12610.5,0.1
135,399,53,616,323,3,0,12306.9,0.1
136,402,46,617,339,3,0,13108.7,0.1
137,397,47,618,323,3,0,12165,0.1
138,412,40,619,351,3,0,14012.5,0.1
139,386,52,621,317,3,0,11838.3,0.1
140,396,47,623,319,3,0,12105.9,0.1
141,372,46,626,295,3,0,10413.4,0.1
142,383,47,628,307,3,0,11196.3,0.1
143,404,52,629,330,3,0,12690.6,0.1
144,388,50,632,309,3,0,11499.1,0.1
145,401,51,636,323,3,0,12358.8,0.1
146,398,42,638,325,3,0,12515.2,0.1
147,406,42,639,341,3,0,13338.8,0.1
148,393,48,642,329,3,0,12468.6,0.1
149,381,50,645,305,3,0,11249,0.1
150,404,47,646,327,3,0,12681.5,0.1
151,406,45,647,335,3,0,13087.1,0.1
152,399,47,647,328,3,0,12819.6,0.1
153,388,45,648,318,3,0,11871.6,0.1
154,375,45,650,299,3,0,10519.2,0.1
155,379,45,651,308,3,0,11263.2,0.1
156,392,48,652,318,3,0,11987.2,0.1
157,401,44,654,330,3,0,12688.3,0.1
158,395,39,658,326,3,0,12488.7,0.1
159,384,43,659,315,3,0,11672.6,0.1
160,386,46,660,312,3,0,11681.4,0.1
161,392,40,660,322,3,0,12045.5,0.1
162,404,39,661,336,3,0,13139.6,0.1
163,385,41,661,318,3,0,11923,0.1
164,381,41,661,313,3,0,11694.5,0.1
